#Lam	[0+]	[1+]
-0.1	1.0	0.0
-0.095	0.9160512409133387	0.0
-0.09	0.8631563277896774	0.0
-0.085	0.8213762932210819	0.0
-0.08	0.7915794870946666	0.0
-0.075	0.7649831705521878	0.0
-0.07	0.737973354063464	0.0
-0.065	0.7125182973726213	0.0
-0.06	0.6906110702205609	0.0
-0.055	0.669737592934113	0.0
-0.05	0.6510722053606133	0.0
-0.045	0.6342675675452162	0.0
-0.04	0.6155525599781672	0.0
-0.035	0.5988140821541693	0.0
-0.03	0.5833905341592306	0.0
-0.025	0.5710765057600542	0.0
-0.02	0.5599864372017631	0.0
-0.015	0.5463492089746028	0.0
-0.01	0.5352095204227624	0.0
-0.005	0.5251035817365344	0.0
0.0	0.5149645630546068	1.0
0.005	0.5043541544339599	0.9796112771572895
0.01	0.4950834856391469	0.9603499204726199
0.015	0.48657365674542463	0.9439550451820391
0.02	0.47708383297910173	0.9265507839127471
0.025	0.4679165391708499	0.9092076975512559
0.03	0.4599856102018707	0.8935556604268261
0.035	0.4522903762022511	0.8775846398545785
0.04	0.44382189730315336	0.8614344641952004
0.045	0.4369205832003242	0.8449390872703756
0.05	0.4290516792232817	0.8295186408683342
0.055	0.422237200109164	0.8152211909880621
0.06	0.4155178259826826	0.8025273976194222
0.065	0.4093153267890075	0.7893398353521053
0.07	0.40295156261629683	0.77668973834618
0.075	0.39700543338929367	0.7639478789785539
0.08	0.3906499392155079	0.7517085277821474
0.085	0.3846211099992557	0.7380927411602258
0.09	0.3794771706679678	0.7281037526436299
0.095	0.3738204914033361	0.7173369688707112
0.1	0.36747740222793773	0.7057574327512978
